"","velocidad_recomendada","severidad","fatales","festivos","iluminación","lesiones_menores","carretera","lesiones_graves","limite_velocidad","clima"
"1597",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"1617",30,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,50,"Buen clima"
"1626",50,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"1647",30,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"1681",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"1772",80,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"1796",65,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Niebla"
"1806",50,"Accidente sin lesiones",0,"No festivo","Amanecer o atardecer",0,"Asfalto",0,70,"Buen clima"
"1810",60,"Accidente leve",0,"No festivo","Oscuro",2,"Asfalto",0,70,"Lluvia ligera"
"1837",75,"Accidente fatal",1,"Navidad y Año Nuevo","Soleado",0,"Asfalto",0,100,"Buen clima"
"1865",65,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"1867",55,"Accidente leve",0,"No festivo","Soleado",2,"Asfalto",0,100,"Buen clima"
"1870",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"1890",35,"Accidente leve",0,"No festivo","Oscuro",3,"Asfalto",0,100,"Lluvia ligera"
"1910",55,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"1933",45,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,50,"Lluvia ligera"
"1969",75,"Accidente fatal",1,"No festivo","Nublado",2,"Asfalto",0,100,"Niebla"
"2000",85,"Accidente grave",0,"No festivo","Oscuro",1,"Asfalto",1,100,"Buen clima"
"2010",30,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,50,"Lluvia intensa"
"2068",75,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia intensa"
"2081",70,"Accidente grave",0,"No festivo","Nublado",1,"Asfalto",1,100,"Lluvia ligera"
"2088",30,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Lluvia intensa"
"2111",75,"Accidente grave",0,"No festivo","Oscuro",0,"Asfalto",1,100,"Lluvia ligera"
"2129",15,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"2178",45,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"2192",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Buen clima"
"2232",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"2297",80,"Accidente grave",0,"Pascua","Soleado",1,"Asfalto",1,100,"Buen clima"
"2346",80,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"2352",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"2363",75,"Accidente fatal",1,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"2367",65,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"2389",85,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Buen clima"
"2393",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"2411",75,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"2412",35,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,50,"Buen clima"
"2422",80,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"2502",55,"Accidente leve",0,"No festivo","Nublado",5,"Asfalto",0,80,"Buen clima"
"2547",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"2570",65,"Accidente fatal",1,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"2601",35,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Buen clima"
"2602",35,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Buen clima"
"2604",85,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"2627",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"2629",25,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,70,"Lluvia ligera"
"2677",30,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"2701",35,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,50,"Buen clima"
"2748",55,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"2765",30,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Buen clima"
"2773",90,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"2785",65,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"2879",50,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Buen clima"
"2964",45,"Accidente sin lesiones",0,"Cumpleaños de la Reina","Soleado",0,"Asfalto",0,100,"Buen clima"
"3018",40,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,50,"Lluvia ligera"
"3045",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"3086",85,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"3103",70,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"3108",25,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Buen clima"
"3113",35,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,70,"Buen clima"
"3123",50,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"3133",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"3182",70,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"3200",40,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,50,"Lluvia ligera"
"3219",30,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,50,"Buen clima"
"3250",85,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"3306",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"3358",15,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"3376",30,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,50,"Buen clima"
"3431",75,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"3443",65,"Accidente leve",0,"No festivo","Amanecer o atardecer",2,"Asfalto",0,100,"Buen clima"
"3487",75,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"3503",30,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,50,"Lluvia ligera"
"3504",30,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,50,"Buen clima"
"3521",35,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Lluvia ligera"
"3587",35,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"3611",80,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"3633",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"3645",65,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"3663",40,"Accidente sin lesiones",0,"No festivo","Amanecer o atardecer",0,"Asfalto",0,50,"Buen clima"
"3709",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"3711",45,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"3730",75,"Accidente sin lesiones",0,"No festivo","Amanecer o atardecer",0,"Asfalto",0,100,"Buen clima"
"3743",30,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Buen clima"
"3775",65,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"3782",50,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Sin Asfalto",0,100,"Buen clima"
"3797",40,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,50,"Buen clima"
"3863",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"3880",40,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,50,"Buen clima"
"3897",25,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"3919",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"3927",50,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,70,"Lluvia ligera"
"3947",75,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"3963",85,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"3988",65,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Buen clima"
"3999",70,"Accidente leve",0,"No festivo","Nublado",2,"Asfalto",0,100,"Buen clima"
"4005",65,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,80,"Buen clima"
"4034",55,"Accidente grave",0,"No festivo","Nublado",0,"Asfalto",1,100,"Lluvia ligera"
"4036",25,"Accidente grave",0,"No festivo","Oscuro",2,"Asfalto",2,50,"Lluvia ligera"
"4040",75,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"4057",30,"Accidente leve",0,"No festivo","Soleado",2,"Asfalto",0,50,"Buen clima"
"4061",50,"Accidente grave",0,"No festivo","Nublado",0,"Asfalto",1,100,"Buen clima"
"4082",75,"Accidente grave",0,"No festivo","Nublado",1,"Asfalto",1,100,"Lluvia ligera"
"4091",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"4125",30,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"4161",15,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Buen clima"
"4242",70,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia intensa"
"4290",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,70,"Lluvia ligera"
"4336",40,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Lluvia ligera"
"4343",40,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,50,"Lluvia ligera"
"4377",75,"Accidente fatal",1,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia intensa"
"4385",85,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"4476",65,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Lluvia ligera"
"4512",85,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"4552",85,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"4559",20,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"4577",55,"Accidente grave",0,"No festivo","Oscuro",0,"Asfalto",1,100,"Niebla"
"4641",35,"Accidente leve",0,"No festivo","Soleado",6,"Asfalto",0,70,"Buen clima"
"4676",45,"Accidente grave",0,"No festivo","Nublado",0,"Asfalto",1,100,"Buen clima"
"4677",25,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"4683",30,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,50,"Buen clima"
"4701",75,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"4718",90,"Accidente grave",0,"No festivo","Nublado",4,"Asfalto",1,100,"Lluvia ligera"
"4748",55,"Accidente leve",0,"No festivo","Amanecer o atardecer",2,"Asfalto",0,100,"Buen clima"
"4757",20,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Buen clima"
"4764",95,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Lluvia intensa"
"4771",70,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,80,"Buen clima"
"4773",85,"Accidente grave",0,"No festivo","Oscuro",1,"Asfalto",1,100,"Lluvia ligera"
"4776",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"4792",50,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,60,"Lluvia intensa"
"4831",55,"Accidente grave",0,"No festivo","Soleado",0,"Asfalto",1,100,"Buen clima"
"4856",75,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia intensa"
"4866",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Buen clima"
"4919",75,"Accidente grave",0,"No festivo","Oscuro",0,"Asfalto",1,100,"Buen clima"
"4993",30,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,50,"Buen clima"
"5029",90,"Accidente sin lesiones",0,"Navidad y Año Nuevo","Soleado",0,"Asfalto",0,100,"Buen clima"
"5040",55,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"5048",75,"Accidente fatal",1,"No festivo","Oscuro",3,"Asfalto",1,100,"Buen clima"
"5053",70,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"5069",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Niebla"
"5094",90,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"5118",65,"Accidente sin lesiones",0,"Fin de semana del Trabajo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"5119",65,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"5124",30,"Accidente leve",0,"No festivo","Nublado",2,"Asfalto",0,70,"Lluvia ligera"
"5163",75,"Accidente leve",0,"No festivo","Nublado",2,"Asfalto",0,100,"Lluvia ligera"
"5173",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Niebla"
"5189",20,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,20,"Lluvia ligera"
"5190",35,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,70,"Buen clima"
"5200",35,"Accidente sin lesiones",0,"Navidad y Año Nuevo","Soleado",0,"Asfalto",0,70,"Buen clima"
"5215",50,"Accidente sin lesiones",0,"Pascua","Oscuro",0,"Asfalto",0,80,"Lluvia intensa"
"5250",65,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"5267",25,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"5273",65,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Buen clima"
"5319",80,"Accidente leve",0,"No festivo","Oscuro",2,"Asfalto",0,100,"Buen clima"
"5328",45,"Accidente leve",0,"No festivo","Nublado",2,"Asfalto",0,100,"Lluvia ligera"
"5332",85,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"5345",35,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"5347",80,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia intensa"
"5371",95,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"5397",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia intensa"
"5407",85,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia intensa"
"5461",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"5565",50,"Accidente leve",0,"No festivo","Soleado",1,"Sin Asfalto",0,100,"Buen clima"
"5585",75,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"5610",70,"Accidente grave",0,"No festivo","Soleado",0,"Asfalto",1,100,"Buen clima"
"5662",25,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"5684",25,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,50,"Lluvia intensa"
"5689",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"5724",35,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"5730",55,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"5731",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"5741",25,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"5757",70,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"5761",50,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia intensa"
"5791",30,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"5833",45,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"5839",60,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,70,"Buen clima"
"5840",70,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,80,"Buen clima"
"5861",30,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"5872",80,"Accidente sin lesiones",0,"Cumpleaños de la Reina","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"5910",30,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"5923",30,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"5972",75,"Accidente leve",0,"No festivo","Soleado",2,"Asfalto",0,100,"Buen clima"
"6007",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia intensa"
"6065",35,"Accidente leve",0,"Fin de semana del Trabajo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"6076",50,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Sin Asfalto",0,100,"Buen clima"
"6082",55,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Buen clima"
"6118",75,"Accidente grave",0,"No festivo","Soleado",0,"Asfalto",1,100,"Buen clima"
"6170",50,"Accidente leve",0,"Pascua","Oscuro",1,"Asfalto",0,100,"Buen clima"
"6200",40,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Buen clima"
"6227",45,"Accidente leve",0,"No festivo","Oscuro",2,"Sin Asfalto",0,100,"Buen clima"
"6242",40,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"6266",45,"Accidente leve",0,"Navidad y Año Nuevo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"6309",65,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"6339",90,"Accidente leve",0,"No festivo","Nublado",2,"Asfalto",0,100,"Lluvia ligera"
"6351",80,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia intensa"
"6366",55,"Accidente leve",0,"Fin de semana del Trabajo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"6402",65,"Accidente sin lesiones",0,"No festivo","Amanecer o atardecer",0,"Asfalto",0,100,"Lluvia ligera"
"6411",65,"Accidente sin lesiones",0,"No festivo","Amanecer o atardecer",0,"Asfalto",0,70,"Niebla"
"6471",45,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"6489",65,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Lluvia ligera"
"6492",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"6501",55,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Buen clima"
"6522",70,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"6597",65,"Accidente leve",0,"No festivo","Nublado",2,"Asfalto",0,100,"Lluvia ligera"
"6601",15,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Sin Asfalto",0,100,"Buen clima"
"6618",45,"Accidente leve",0,"No festivo","Amanecer o atardecer",1,"Asfalto",0,50,"Buen clima"
